,precision,recall,f1-score,support
cardboard,0.9888888888888889,0.996268656716418,0.9925650557620818,268.0
glass,0.9643916913946587,0.9558823529411765,0.9601181683899557,340.0
metal,0.9368770764119602,0.9757785467128027,0.9559322033898305,289.0
paper,0.9859484777517564,0.9929245283018868,0.9894242068155111,424.0
plastic,0.9969788519637462,0.9428571428571428,0.9691629955947136,350.0
trash,0.9215686274509803,0.9690721649484536,0.9447236180904522,97.0
accuracy,0.9722850678733032,0.9722850678733032,0.9722850678733032,0.9722850678733032
macro avg,0.965775602310332,0.97213056541298,0.9686543746737576,1768.0
weighted avg,0.9728788359707374,0.9722850678733032,0.9723264265153756,1768.0
