,precision,recall,f1-score,support
cardboard,0.3111111111111111,0.05223880597014925,0.08945686900958466,268.0
glass,0.2524271844660194,0.15294117647058825,0.19047619047619047,340.0
metal,0.2727272727272727,0.5190311418685121,0.3575685339690107,289.0
paper,0.2879177377892031,0.2641509433962264,0.27552275522755226,424.0
plastic,0.34608695652173915,0.5685714285714286,0.43027027027027026,350.0
trash,0.6666666666666666,0.020618556701030927,0.04,97.0
accuracy,0.2992081447963801,0.2992081447963801,0.2992081447963801,0.2992081447963801
macro avg,0.35615615488033536,0.2629253421629892,0.2305491031587681,1768.0
weighted avg,0.3144204890194025,0.2992081447963801,0.2620870445614221,1768.0
