,cardboard,glass,metal,paper,plastic,trash
cardboard,256,2,2,8,0,0
glass,0,334,3,1,2,0
metal,0,6,281,1,0,1
paper,0,1,3,417,0,3
plastic,0,23,8,1,312,6
trash,0,1,0,1,0,95
