,cardboard,glass,metal,paper,plastic,trash
cardboard,161,48,21,32,2,4
glass,44,215,16,46,6,13
metal,66,83,61,69,0,10
paper,48,93,29,248,4,2
plastic,58,164,23,61,32,12
trash,17,41,10,13,2,14
